id;start_date;end_date;language
1;2024-11-17T22:48:47;2024-11-18T07:46:32;FRENCH
2;2024-11-17T18:38:10;2024-11-17T21:51:54;FRENCH
3;2024-11-17T16:09:04;2024-11-17T21:57:52;FRENCH
4;2024-11-18T10:06:53;2024-11-18T07:04:30;SPANISH
5;2024-11-18T07:55:23;2024-11-17T23:22:49;SPANISH
6;2024-11-17T19:59:47;2024-11-18T11:01:57;FRENCH
7;2024-11-18T00:38:10;2024-11-18T07:33:15;SPANISH
8;2024-11-18T07:25:38;2024-11-17T14:18:01;SPANISH
9;2024-11-17T23:45:17;2024-11-18T02:29:04;FRENCH
10;2024-11-17T13:59:46;2024-11-18T01:11:49;FRENCH
